Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
1999-01-31,79.55998229980469,5.821026802062988,5.41347074508667,11.476545333862305,15.104007720947266,14.08594799041748,14.222308158874512,5.805395603179932,18.353246688842773,10.136302947998047
1999-02-28,77.00860595703125,5.911506175994873,5.366936683654785,11.657035827636719,15.23999309539795,12.688990592956543,14.073049545288086,5.645418643951416,18.374290466308594,10.072879791259766
1999-03-31,80.20201110839844,6.017857074737549,6.125666618347168,12.034852027893066,15.56009578704834,13.631935119628906,14.056353569030762,5.289259910583496,18.858383178710938,10.562898635864258
1999-04-30,83.24759674072266,7.505023956298828,7.0324554443359375,12.879401206970215,17.899967193603516,13.713419914245605,13.566208839416504,5.800232410430908,19.53190040588379,10.839962005615234
1999-05-31,81.3441162109375,6.821965217590332,6.880676746368408,12.1027193069458,17.54898452758789,13.759988784790039,13.424986839294434,5.868355751037598,18.93204689025879,10.349333763122559
1999-06-30,85.84886169433594,7.216192245483398,7.021141529083252,12.627799034118652,18.62564468383789,15.081282615661621,13.662064552307129,6.1099982261657715,19.76342010498047,11.016389846801758
1999-07-31,83.18559265136719,7.133799076080322,7.1541290283203125,11.856518745422363,17.942317962646484,14.906657218933105,13.153277397155762,6.128691673278809,19.174091339111328,10.195649147033691
1999-08-31,82.75479888916016,6.812887191772461,7.232362747192383,11.334776878356934,18.088743209838867,15.430513381958008,13.378475189208984,5.835812091827393,18.31114387512207,9.802621841430664
1999-09-30,80.90631866455078,6.5992255210876465,6.899737358093262,10.7429780960083,17.995450973510742,15.366486549377441,12.171590805053711,5.984228610992432,18.058582305908203,9.660341262817383
1999-10-31,86.09064483642578,6.7558274269104,6.797579765319824,12.412086486816406,17.604248046875,15.832140922546387,13.283416748046875,6.015626430511475,18.974151611328125,10.516976356506348
1999-11-30,87.52413940429688,6.660123825073242,6.7857890129089355,11.865829467773438,17.213043212890625,17.386255264282227,13.32520866394043,5.817821979522705,19.195133209228516,10.522765159606934
1999-12-31,92.52253723144531,7.4307708740234375,6.833395004272461,11.581948280334473,18.606782913208008,20.06995964050293,12.358059883117676,5.690624237060547,20.927011489868164,11.521158218383789
2000-01-31,87.9161605834961,6.522129058837891,6.888562202453613,11.239291191101074,17.08486557006836,18.835960388183594,12.46705436706543,5.589517116546631,20.397756576538086,10.089703559875488
2000-02-29,86.57752227783203,5.866861343383789,6.5969414710998535,10.036166191101074,16.142248153686523,20.815013885498047,11.008233070373535,4.910177707672119,19.064010620117188,9.52755069732666
2000-03-31,94.96818542480469,6.4587860107421875,7.41776180267334,11.869012832641602,18.389358520507812,22.561235427856445,11.422061920166016,5.446551322937012,20.778827667236328,10.87586784362793
2000-04-30,91.6328125,6.244225978851318,7.3070502281188965,11.98365592956543,18.65500831604004,20.48905372619629,12.027652740478516,5.803077697753906,20.535362243652344,10.649404525756836
2000-05-31,90.19212341308594,6.047177314758301,8.165070533752441,12.251141548156738,18.5762996673584,18.35865020751953,12.885565757751465,5.790341854095459,19.984926223754883,10.074548721313477
2000-06-30,91.96724700927734,5.5300726890563965,7.715860366821289,11.65694808959961,17.84566879272461,20.186370849609375,13.615056991577148,5.593660354614258,20.02727508544922,9.529492378234863
2000-07-31,90.52317810058594,5.578461647033691,7.421846389770508,12.684598922729492,18.12173843383789,19.1153564453125,13.117657661437988,5.680261611938477,19.73088264465332,9.680755615234375
2000-08-31,96.43799591064453,5.706049919128418,8.23237133026123,13.972991943359375,19.916160583496094,21.05948829650879,12.957488059997559,5.901569366455078,20.42951202392578,9.279332160949707
2000-09-30,91.1471939086914,5.146670818328857,8.36772346496582,14.276765823364258,19.33775520324707,17.2760009765625,13.531447410583496,6.681417465209961,19.68854522705078,9.290696144104004
2000-10-31,90.7208251953125,5.598056793212891,8.140271186828613,14.153693199157715,19.772762298583984,16.28646469116211,14.470778465270996,7.069498538970947,19.984926223754883,9.174057960510254
2000-11-30,83.94823455810547,5.45644474029541,7.713305950164795,13.430614471435547,19.100482940673828,12.945353507995605,14.97005558013916,7.066263198852539,18.164257049560547,8.946598052978516
2000-12-31,83.50947570800781,6.225196361541748,8.500797271728516,14.57662582397461,19.85506820678711,11.664791107177734,15.514603614807129,6.9698381423950195,18.4639949798584,9.577068328857422
2001-01-31,87.22221374511719,6.05900764465332,8.2299222946167,14.542043685913086,19.931324005126953,13.89530086517334,14.38342571258545,6.577639102935791,19.7988224029541,10.69076919555664
2001-02-28,78.90235137939453,6.13746976852417,8.130029678344727,13.563679695129395,18.736827850341797,10.434517860412598,14.47033977508545,6.714145183563232,19.41937255859375,9.927408218383789
2001-03-31,74.48091125488281,5.830102920532227,7.88748836517334,13.157411575317383,16.942413330078125,9.23869514465332,13.466716766357422,6.6178975105285645,18.17594337463379,9.78264331817627
2001-04-30,80.84452819824219,6.451944828033447,8.701929092407227,13.63334846496582,18.879411697387695,10.732538223266602,13.728205680847168,6.9372639656066895,19.51778221130371,10.236342430114746
2001-05-31,80.39134216308594,6.700096130371094,8.619708061218262,14.233206748962402,19.669504165649414,10.292953491210938,13.929778099060059,6.985909938812256,20.263263702392578,10.480067253112793
2001-06-30,78.47566223144531,6.468857765197754,7.834185600280762,14.131356239318848,18.45416259765625,10.494121551513672,13.28547477722168,6.635389804840088,20.03436279296875,10.397541046142578
2001-07-31,77.6755599975586,6.451263427734375,7.743839263916016,13.997008323669434,18.415857315063477,9.767690658569336,13.689894676208496,6.575745105743408,19.634355545043945,10.8597412109375
