Date,SPY
2000-02-29,-0.015225959543347933
2000-03-31,0.0969142110270349
2000-04-30,-0.03512048525731415
2000-05-31,-0.015722414794526407
2000-06-30,0.01968200410399157
2000-07-31,-0.01570239953490593
2000-08-31,0.06534078985228375
2000-09-30,-0.054862429972138416
2000-10-31,-0.004678138089489248
2000-11-30,-0.07465252168916925
2000-12-31,-0.005226719916301192
2001-01-31,0.04445941929827235
2001-02-28,-0.09538759100342808
2001-03-31,-0.05603743609727041
2001-04-30,0.08543991988819921
2001-05-31,-0.005605083663852817
2001-06-30,-0.02382942183672143
2001-07-31,-0.010196222697994584
2001-08-31,-0.059332362120826376
2001-09-30,-0.08162998511019082
2001-10-31,0.013021236012901616
2001-11-30,0.07797774421413428
2001-12-31,0.005638793416069987
2002-01-31,-0.009798218082256449
2002-02-28,-0.017936216816775596
2002-03-31,0.0332704321760926
2002-04-30,-0.05815565099540887
2002-05-31,-0.005933742248599327
2002-06-30,-0.07380671793174132
2002-07-31,-0.0788203475561784
2002-08-31,0.006801117898684872
2002-09-30,-0.10485255396869264
2002-10-31,0.08228394661057559
2002-11-30,0.06168122877112836
2002-12-31,-0.05656948694993935
2003-01-31,-0.024595636240198115
2003-02-28,-0.01347856369700684
2003-03-31,0.0021395312460337212
2003-04-30,0.08461255883711649
2003-05-31,0.05483602307230817
2003-06-30,0.01065167784973875
2003-07-31,0.018027325712820064
2003-08-31,0.020625771903447276
2003-09-30,-0.010906050307370907
2003-10-31,0.053526473395251406
2003-11-30,0.010921062143726568
2003-12-31,0.05031347607978076
2004-01-31,0.019769886770678147
2004-02-29,0.01357062080239313
2004-03-31,-0.013245820451701418
2004-04-30,-0.018921258124851015
2004-05-31,0.017123194954442145
2004-06-30,0.018501305776873478
2004-07-31,-0.03221896446907113
2004-08-31,0.0024368336133335777
2004-09-30,0.0100361456112259
2004-10-31,0.012885313590090375
2004-11-30,0.044516971070246214
2004-12-31,0.030121749952600974
2005-01-31,-0.022421162479197565
2005-02-28,0.020903701946680675
2005-03-31,-0.01829258969195191
2005-04-30,-0.018735443735118484
2005-05-31,0.032225016956816566
2005-06-30,0.0015147564280102443
2005-07-31,0.03826120872153749
2005-08-31,-0.00937410419721052
2005-09-30,0.008025428831631043
2005-10-31,-0.02365117523538207
2005-11-30,0.043952825168148024
2005-12-31,-0.0019137212154437533
2006-01-31,0.024013938784104072
2006-02-28,0.005725631695726818
2006-03-31,0.01650379550062908
2006-04-30,0.012631608222076762
2006-05-31,-0.03012053539505788
2006-06-30,0.0026080974822406677
2006-07-31,0.0044779437761628405
2006-08-31,0.021823139771820266
2006-09-30,0.02700155076218902
2006-10-31,0.031516520198578535
2006-11-30,0.01988521828458434
2006-12-31,0.013371355733689194
2007-01-31,0.015040384095233117
2007-02-28,-0.019617774928039622
2007-03-31,0.011588978189529087
2007-04-30,0.04429583227088152
2007-05-31,0.03391987726936585
2007-06-30,-0.014620544715130745
2007-07-31,-0.031310477678824666
2007-08-31,0.012832963937569275
2007-09-30,0.03871403372784821
2007-10-31,0.013566976323306612
2007-11-30,-0.038732464846926606
2007-12-31,-0.01126066163853523
2008-01-31,-0.06046115878361491
2008-02-29,-0.025842790749623035
2008-03-31,-0.008941779782497883
2008-04-30,0.04766181429578875
2008-05-31,0.015116653302047478
2008-06-30,-0.08357600993882508
2008-07-31,-0.008985756903498787
2008-08-31,0.015454138109236126
2008-09-30,-0.09417361615837605
2008-10-31,-0.16518663082822327
2008-11-30,-0.06960670820643045
2008-12-31,0.009796020631485991
2009-01-31,-0.08211431072359421
2009-02-28,-0.1074486036007547
2009-03-31,0.08331065795059422
2009-04-30,0.09934544135616497
2009-05-31,0.058453958540080286
2009-06-30,-0.0006551226786434272
2009-07-31,0.07460592300524405
2009-08-31,0.03693962229942094
2009-09-30,0.03545706937740034
2009-10-31,-0.019225343371255366
2009-11-30,0.06160695017332585
2009-12-31,0.01910128032495395
2010-01-31,-0.03634279490526715
2010-02-28,0.031194676690293965
2010-03-31,0.060879879347119914
2010-04-30,0.015469653047228693
2010-05-31,-0.0794543510953526
2010-06-30,-0.051740838662286404
2010-07-31,0.06830026517283505
2010-08-31,-0.04498002892419439
2010-09-30,0.08955424585953642
2010-10-31,0.0382020797952618
2010-11-30,0.0
2010-12-31,0.06685265286706832
2011-01-31,0.02329994108930533
2011-02-28,0.03473768248404996
2011-03-31,0.00011999179381971814
2011-04-30,0.028961360462804286
2011-05-31,-0.011214463235254546
2011-06-30,-0.016869824861628246
2011-07-31,-0.02000469453161935
2011-08-31,-0.0549754702175137
2011-09-30,-0.06942053990303831
2011-10-31,0.10914671879510807
2011-11-30,-0.004063717677011303
2011-12-31,0.010448210774675504
2012-01-31,0.046374844536233306
2012-02-29,0.043404901609427116
2012-03-31,0.03216432489279564
2012-04-30,-0.0066755479659922345
2012-05-31,-0.06005606704237065
2012-06-30,0.04058121902926182
2012-07-31,0.011829741972088526
2012-08-31,0.025052232550267117
2012-09-30,0.02535136276640726
2012-10-31,-0.018198504540551608
2012-11-30,0.005659835106501365
2012-12-31,0.008934277859142137
2013-01-31,0.05119026864773457
2013-02-28,0.012758730113538341
2013-03-31,0.03797154790701329
2013-04-30,0.01921189511253818
2013-05-31,0.02360935312991619
2013-06-30,-0.013343751633437595
2013-07-31,0.051676678005377896
2013-08-31,-0.02999247198309951
2013-09-30,0.03164652564481574
2013-10-31,0.04630673412967967
2013-11-30,0.02963774764690097
2013-12-31,0.025926569207536998
2014-01-31,-0.03524790816062073
2014-02-28,0.04551526978405929
2014-03-31,0.008295794991729943
