Date,Base,Macro,SPY
2001-02-28,0.0,0.0,0.0
2001-03-31,-0.03821473156400623,-0.018784876781432258,-0.05603754362839741
2001-04-30,-0.004922136729279769,0.0,0.0
2001-05-31,-0.0011913728238391874,0.0,-0.005605650420126396
2001-06-30,-0.03243571899855746,-0.019314576908227687,-0.02930113110512189
2001-07-31,-0.03927822484302512,-0.023538990177468522,-0.03919812397565936
2001-08-31,-0.08035480782742155,-0.0494652194719305,-0.09620494635420862
2001-09-30,-0.1583156222294001,-0.12014519616606556,-0.16998191186841716
2001-10-31,-0.1675551572147833,-0.1275598966296878,-0.1591737648765612
2001-11-30,-0.0834449912539672,-0.059651794717163975,-0.09360803914442706
2001-12-31,-0.07162779323931656,-0.052670185950396964,-0.08849698828409636
2002-01-31,-0.05652977835956541,-0.043095243188102206,-0.0974285635822788
2002-02-28,-0.03189174022193397,-0.027489625813738816,-0.11361700252282603
2002-03-31,-0.012658901429863478,-0.015579905392454796,-0.0841262796383433
2002-04-30,-0.03973936989461069,-0.03263514088760788,-0.13738986760756067
2002-05-31,-0.021051685721907742,-0.020644602778359333,-0.14250780756689208
2002-06-30,-0.06713835968156034,-0.04974863313679656,-0.20579786571938108
2002-07-31,-0.14851960484730675,-0.10077013184277372,-0.26839646594883526
2002-08-31,-0.14531130841994389,-0.09892462238534794,-0.263420507488781
2002-09-30,-0.22561939867712122,-0.14595043835212407,-0.3406527336369507
2002-10-31,-0.17840868802713372,-0.11775516411709308,-0.2863991915783879
2002-11-30,-0.12431972828295668,-0.08812887408763415,-0.2423833696772627
2002-12-31,-0.17352722898433282,-0.11679892690899674,-0.28524153983253453
2003-01-31,-0.19539201146489626,-0.1293987474815237,-0.30282058587351546
2003-02-28,-0.20060182063031717,-0.13245929547051205,-0.3122181662520782
2003-03-31,-0.19353347622971384,-0.1281902143990612,-0.31074654145996616
2003-04-30,-0.16295869913736083,-0.10959092958148753,-0.2524275816497429
2003-05-31,-0.1346357583306972,-0.09328673576086799,-0.21143385648647828
2003-06-30,-0.11892079139160605,-0.0845203825310975,-0.20303392145162558
2003-07-31,-0.1014071750933544,-0.06632297349843619,-0.18866665829908502
2003-08-31,-0.07561083831341331,-0.03951945765483855,-0.17193228185550025
2003-09-30,-0.1071761070599263,-0.07231714471296624,-0.18096351316115156
2003-10-31,-0.03668789212159318,0.0,-0.13712326891333693
2003-11-30,-0.02444609443362633,0.0,-0.12769907585096163
2003-12-31,0.0,0.0,-0.08381155162233078
2004-01-31,-0.0027459425034688234,-0.0027459425034689344,-0.0656983172951019
2004-02-29,-0.006765616514348816,-0.006765616514348927,-0.05301935525394308
2004-03-31,-0.0209500841947291,-0.020950084194729546,-0.06556308333799676
2004-04-30,-0.06306199476403151,-0.06306199476403196,-0.0832434368827828
2004-05-31,-0.0481664781628478,-0.04816647816284836,-0.06754544516838701
2004-06-30,0.0,0.0,-0.0502938200723998
2004-07-31,-0.006626005860987494,-0.006626005860987605,-0.08089180047168631
2004-08-31,0.0,0.0,-0.07865331515240337
2004-09-30,0.0,0.0,-0.06940587938357845
2004-10-31,0.0,0.0,-0.057415449757659553
2004-11-30,0.0,0.0,-0.015453570256683369
2004-12-31,0.0,0.0,0.0
2005-01-31,0.0,0.0,-0.02242116665176308
2005-02-28,0.0,0.0,-0.001986053150184075
2005-03-31,-0.011537738667792397,-0.011537738667792286,-0.020242221439156993
2005-04-30,-0.042683639851100685,-0.042683639851100574,-0.03859851122314495
2005-05-31,-0.03605431924266411,-0.03605431924266422,-0.007617328946473156
2005-06-30,-0.0032852216957935942,-0.0032852216957934832,-0.006114389924650854
2005-07-31,0.0,0.0,0.0
2005-08-31,0.0,0.0,-0.009375002536087473
2005-09-30,0.0,0.0,-0.001424266746090086
2005-10-31,-0.05910698745483134,-0.05910698745483123,-0.025041305539076464
2005-11-30,-0.05141103986741091,-0.0514110398674108,0.0
2005-12-31,-0.043256027144735976,-0.043256027144735865,-0.0019139869977521373
2006-01-31,0.0,0.0,0.0
2006-02-28,-0.033875275231690205,-0.033875275231690094,0.0
2006-03-31,-0.03451279712141353,-0.03451279712141353,0.0
2006-04-30,-0.00889927814565572,-0.00889927814565572,0.0
2006-05-31,-0.04418752638665968,-0.04418752638665957,-0.030121111429850522
2006-06-30,-0.03593021480382874,-0.03593021480382852,-0.027591237159929505
