Date,scale
2019-05-31,0.9784122337215858
2019-06-30,0.9460601030781132
2019-07-31,0.9017343704949564
2019-08-31,0.6008485230164053
2019-09-30,0.9073073478462703
2019-10-31,0.599674313695194
2019-11-30,1.0
2019-12-31,0.7365358531124905
2020-01-31,1.0
2020-02-29,1.0
2020-03-31,1.0
2020-04-30,1.0
2020-05-31,0.7993442242190106
2020-06-30,0.8227771469718371
2020-07-31,0.8405962083592491
2020-08-31,0.8083401638569067
2020-09-30,0.7611933487476136
2020-10-31,0.7384202062837403
2020-11-30,0.7150362111603237
2020-12-31,0.6430553200458576
2021-01-31,0.6416187160416001
2021-02-28,0.6385978190621749
2021-03-31,0.727557339417617
2021-04-30,0.8823367197112715
2021-05-31,0.9967162791011707
2021-06-30,0.9957032904986973
2021-07-31,0.9089431052555648
2021-08-31,0.8910576713762864
2021-09-30,0.9686652464194975
2021-10-31,1.0
2021-11-30,1.0
2021-12-31,1.0
2022-01-31,1.0
2022-02-28,1.0
2022-03-31,1.0
2022-04-30,1.0
2022-05-31,1.0
2022-06-30,1.0
2022-07-31,0.9070811286995892
2022-08-31,0.8855445567264021
2022-09-30,0.8842471277911739
2022-10-31,0.7425740398517016
2022-11-30,0.684836533849246
2022-12-31,0.68174438152428
2023-01-31,0.4514447983211485
2023-02-28,0.45649642756385705
2023-03-31,0.4459435557259794
2023-04-30,0.6784867453069096
2023-05-31,0.46977323659945375
2023-06-30,0.7259705485934914
2023-07-31,0.5104079154687293
2023-08-31,0.7920886539987629
2023-09-30,0.7896531141563651
2023-10-31,0.9359365007768566
2023-11-30,1.0
2023-12-31,0.9857340581671759
2024-01-31,0.9528110349317018
2024-02-29,0.9471801391554411
2024-03-31,0.9668269143831851
2024-04-30,0.9782568410881091
2024-05-31,0.8949305954700096
2024-06-30,0.9079268794270068
2024-07-31,0.9509669698622223
2024-08-31,0.9524054222475927
2024-09-30,0.9641175011020789
2024-10-31,1.0
2024-11-30,1.0
2024-12-31,1.0
2025-01-31,1.0
2025-02-28,1.0
2025-03-31,1.0
2025-04-30,1.0
2025-05-31,1.0
2025-06-30,1.0
2025-07-31,0.7106106486849847
2025-08-31,1.0
2025-09-30,1.0
2025-10-31,0.7036376659231699
2025-11-30,1.0
2025-12-31,1.0
2026-01-31,1.0
