Period,Months,CAGR (Strat),CAGR (SPY),Sharpe (rf=0),Sharpe SPY (rf=0),MaxDD (Strat),MaxDD (SPY),Ann.Vol (Strat),Ann.Vol (SPY),Avg Turnover
Full (1999–2026),300,0.08064609367296294,0.08637157074792223,0.6677931043253362,0.6283790327331231,-0.33430610845072795,-0.5078480716500248,0.128990267965849,0.15043359369227918,0.22444444444444442
Lost Decade (2000–2010),119,0.04707283918159644,0.009926541866400962,0.41095032767127926,0.14314938991706366,-0.33430610845072795,-0.5078480716500248,0.1339657243483159,0.163705298187619,0.2408963585434173
Post-GFC Bull (2011–2026),181,0.10330352390114417,0.1397571817210208,0.8482778767511839,1.0100778783892268,-0.19014033105362926,-0.23927179858232084,0.12563839930007345,0.13986182388258014,0.21362799263351745
