Date,SPY
2000-02-29,-0.01522630534340419
2000-03-31,0.09691502974694233
2000-04-30,-0.03512095034653073
2000-05-31,-0.015722414794526407
2000-06-30,0.019681581151618
2000-07-31,-0.015701991259407078
2000-08-31,0.06534036844670066
2000-09-30,-0.05486221433775296
2000-10-31,-0.004677804056217316
2000-11-30,-0.07465309781548335
2000-12-31,-0.005226540527114576
2001-01-31,0.044458883325899645
2001-02-28,-0.09538696632987498
2001-03-31,-0.0560368613509582
2001-04-30,0.08543956882565928
2001-05-31,-0.005605648833090782
2001-06-30,-0.02382943088267364
2001-07-31,-0.01019554612393081
2001-08-31,-0.05933214819511978
2001-09-30,-0.08163067340849584
2001-10-31,0.013021807462804347
2001-11-30,0.07797715677700534
2001-12-31,0.005638690472781871
2002-01-31,-0.00979801405821823
2002-02-28,-0.017936114134003422
2002-03-31,0.033270538643860315
2002-04-30,-0.05815595412183072
2002-05-31,-0.005933524743003904
2002-06-30,-0.07380726820661454
2002-07-31,-0.0788200379099705
2002-08-31,0.006801442134048763
2002-09-30,-0.10485216288907517
2002-10-31,0.08228369069822672
2002-11-30,0.06168074959420178
2002-12-31,-0.056569622082983995
2003-01-31,-0.024594390051521642
2003-02-28,-0.013478889329340049
2003-03-31,0.002139049686750827
2003-04-30,0.08461165728481368
2003-05-31,0.05483669232979338
2003-06-30,0.010651379301142239
2003-07-31,0.01802697687746968
2003-08-31,0.020626484195872985
2003-09-30,-0.010906620135279432
2003-10-31,0.05352765645513169
2003-11-30,0.010921056171650179
2003-12-31,0.05031258337125277
2004-01-31,0.01976989287981845
2004-02-29,0.013570927936287891
2004-03-31,-0.013245720796875915
2004-04-30,-0.018921458199034236
2004-05-31,0.01712319671710949
2004-06-30,0.018501510064006466
2004-07-31,-0.032218464423215964
2004-08-31,0.002435805342569264
2004-09-30,0.010036969142806162
2004-10-31,0.012884699905628239
2004-11-30,0.04451758070190648
2004-12-31,0.030120779878800352
2005-01-31,-0.02242070974814314
2005-02-28,0.020903703936375306
2005-03-31,-0.018292964337003448
2005-04-30,-0.018735072743013892
2005-05-31,0.032224729719253276
2005-06-30,0.0015152258159973897
2005-07-31,0.03826111151732703
2005-08-31,-0.00937410419721052
2005-09-30,0.00802515575568985
2005-10-31,-0.023650820439982678
2005-11-30,0.043952358662759705
2005-12-31,-0.0019133675170847075
2006-01-31,0.02401411631204864
2006-02-28,0.005725110608873374
2006-03-31,0.016504404512921456
2006-04-30,0.01263168979852236
2006-05-31,-0.030121027697995295
2006-06-30,0.002608356929381994
2006-07-31,0.00447828782126658
2006-08-31,0.021822187456468356
2006-09-30,0.0270018160327834
2006-10-31,0.03151685467144172
2006-11-30,0.019885058326896354
2006-12-31,0.013371589714290755
2007-01-31,0.015040151921717149
2007-02-28,-0.019617398971255806
2007-03-31,0.011588974620214909
2007-04-30,0.044295590436611576
2007-05-31,0.0339197290223483
2007-06-30,-0.014620686738091027
2007-07-31,-0.03130969743545786
2007-08-31,0.012832291664974127
2007-09-30,0.03871454698226007
2007-10-31,0.013566619603931684
2007-11-30,-0.03873260068693396
2007-12-31,-0.011261022710389645
2008-01-31,-0.06046089372854446
2008-02-29,-0.025842406947463537
2008-03-31,-0.008942175745509706
2008-04-30,0.04766238432107506
2008-05-31,0.015116340773040804
2008-06-30,-0.0835760791667306
2008-07-31,-0.008985262320053033
2008-08-31,0.015453631328875117
2008-09-30,-0.09417369807048648
2008-10-31,-0.16518673619378366
2008-11-30,-0.06960661496491205
2008-12-31,0.009796254622519651
2009-01-31,-0.08211424360826036
2009-02-28,-0.10744902299143666
2009-03-31,0.08331110359447669
2009-04-30,0.09934542845031635
2009-05-31,0.05845395163262035
2009-06-30,-0.0006551226055033776
2009-07-31,0.07460602638697633
2009-08-31,0.03693951065853707
2009-09-30,0.03545696556565514
2009-10-31,-0.019225149723558266
2009-11-30,0.06160703673121892
2009-12-31,0.019100438061089298
2010-01-31,-0.03634217605384471
2010-02-28,0.03119457904528411
2010-03-31,0.06087932838718224
2010-04-30,0.015470526652451078
2010-05-31,-0.07945457972039582
2010-06-30,-0.05174092646688988
2010-07-31,0.06830085106067174
2010-08-31,-0.044980552685440545
2010-09-30,0.08955443727959178
2010-10-31,0.03820189739712476
2010-11-30,0.0
2010-12-31,0.06685256825609498
2011-01-31,0.023300339482025256
2011-02-28,0.03473736170247066
2011-03-31,0.00011999179381971814
2011-04-30,0.028961360462804286
2011-05-31,-0.011214608803904569
2011-06-30,-0.016869827345198152
2011-07-31,-0.020004472908467963
2011-08-31,-0.05497546601731684
2011-09-30,-0.06942110021147652
2011-10-31,0.10914729695061132
2011-11-30,-0.004063796004677989
2011-12-31,0.010448447538218497
2012-01-31,0.046374759483122974
2012-02-29,0.04340534468757662
2012-03-31,0.03216366723095154
2012-04-30,-0.006675203545152941
2012-05-31,-0.06005619358026448
2012-06-30,0.04058129000267274
2012-07-31,0.011829100475801546
2012-08-31,0.025052947465098008
2012-09-30,0.02535074067377252
2012-10-31,-0.018198378144592575
2012-11-30,0.005659904734559795
2012-12-31,0.008934347377213214
2013-01-31,0.05119061103735656
2013-02-28,0.01275853616186784
2013-03-31,0.03797173700269729
2013-04-30,0.019211952338574312
2013-05-31,0.023609943316688753
2013-06-30,-0.01334409000211878
2013-07-31,0.05167653562772423
2013-08-31,-0.02999246188844562
2013-09-30,0.031646514664113834
2013-10-31,0.04630615799533078
2013-11-30,0.02963807544897823
2013-12-31,0.025926358377629022
2014-01-31,-0.03524791173602937
2014-02-28,0.04551516942754019
2014-03-31,0.008295796660261034
