Period,Avg Scale,Min Scale,Max Scale,Risk-OFF %
Full (1999–2026),0.8941940467389626,0.44594303097329924,1.0,13.333333333333334
Lost Decade (2000–2010),0.8394764410762248,0.4915604552625035,1.0,25.210084033613445
Post-GFC Bull (2011–2026),0.9301686051581108,0.44594303097329924,1.0,5.524861878453039
