Period,Months,CAGR (Strat),CAGR (SPY),Sharpe (rf=0),Sharpe SPY (rf=0),MaxDD (Strat),MaxDD (SPY),Ann.Vol (Strat),Ann.Vol (SPY),Avg Turnover
Full (1999–2026),300,0.08706799866487525,0.08637156694689474,0.6759658552181104,0.6283788197610733,-0.38964178763952717,-0.507847936388697,0.1380610267749053,0.15043365435372144,0.22444444444444442
Lost Decade (2000–2010),119,0.048035837931594605,0.00992650872747558,0.3946356343382044,0.1431492129784183,-0.38964178763952717,-0.507847936388697,0.14641617180164512,0.16370541449711853,0.2408963585434173
Post-GFC Bull (2011–2026),181,0.11351874573513543,0.13975719969973244,0.8822863730392958,1.010077876306235,-0.19902223865283764,-0.23927183400299745,0.13226195353795756,0.13986184216474792,0.21362799263351745
