Date,Base,Macro,SPY
2001-02-28,,,
2001-03-31,,,
2001-04-30,,,
2001-05-31,,,
2001-06-30,,,
2001-07-31,,,
2001-08-31,,,
2001-09-30,,,
2001-10-31,,,
2001-11-30,,,
2001-12-31,,,
2002-01-31,-0.07529320260158234,-0.04825922497713275,-0.16342562921395598
2002-02-28,-0.03189149670109659,-0.023134056114084034,-0.09179908121242808
2002-03-31,0.026571522808226167,0.007759600005295075,-0.005873890662026815
2002-04-30,-0.03498980731715151,-0.030462504627638998,-0.13738992308181575
2002-05-31,-0.019883933204999038,-0.020644293552981363,-0.1376747795897848
2002-06-30,-0.03586586213751797,-0.031033136427433106,-0.18182418293511426
2002-07-31,-0.11370766007190936,-0.07909262679630857,-0.23854918888358811
2002-08-31,-0.07063249633829871,-0.052033234904989345,-0.18501512734904635
2002-09-30,-0.07996373527384604,-0.029329356150171404,-0.20562321899544134
2002-10-31,-0.01303768995496768,0.01123851060278569,-0.1513100329346101
2002-11-30,-0.04459584549904749,-0.0302833890023797,-0.1641398047901328
2002-12-31,-0.10976140729837236,-0.06769408014819056,-0.21584591535229758
2003-01-31,-0.14718276159687382,-0.09019027898589038,-0.22756317092378808
2003-02-28,-0.17426793752593095,-0.10793669155154562,-0.22405774428443737
2003-03-31,-0.18319386620791378,-0.11439246587581187,-0.24743614407031544
2003-04-30,-0.12831880948693553,-0.07955193542241368,-0.13335978306913465
2003-05-31,-0.11602703703213535,-0.07417355960740424,-0.08037978862846196
2003-06-30,-0.055509498212483965,-0.03659228622419519,0.003479675612101385
2003-07-31,0.05532925991909132,0.034509307505257825,0.10897915484237197
2003-08-31,0.08155037044814684,0.059972028494790885,0.12420695592469677
2003-09-30,0.15295161751492103,0.08315251309332794,0.24219335484074156
2003-10-31,0.1724947448702432,0.13131843289897382,0.2091871634946798
2003-11-30,0.114051682729706,0.10847200196649309,0.15137445918519332
2003-12-31,0.26009752928806584,0.22174429859770628,0.28181616292368195
2004-01-31,0.29078620150160495,0.23602271121967044,0.34011697397783824
2004-02-29,0.29396118248477854,0.23538325377850033,0.3768615837284841
2004-03-31,0.2643032296459138,0.21177780807817603,0.35572390234705575
2004-04-30,0.16572675945798943,0.13543232586389475,0.226310633363624
2004-05-31,0.14549923969681,0.1327419907698304,0.18246742060310006
2004-06-30,0.19042146318294306,0.18706435261073717,0.19165256267872222
2004-07-31,0.15948671851681318,0.16046094162573565,0.13283689551891587
2004-08-31,0.1364994897626517,0.1396608741357359,0.11264616365771074
2004-09-30,0.23283368788508296,0.23283368788508296,0.136206253293915
2004-10-31,0.14483017574724344,0.14483017574724344,0.09237469288073874
2004-11-30,0.19594285958194857,0.19594285958194857,0.12867755961351413
2004-12-31,0.1235696950107843,0.1235696950107843,0.10697883780456996
2005-01-31,0.1364465908936625,0.1364465908936625,0.06118077634750407
2005-02-28,0.24259468282361318,0.24259468282361318,0.06885761852400352
2005-03-31,0.2460529687008386,0.2460529687008386,0.06339110780753221
2005-04-30,0.2610308397405843,0.2610308397405843,0.06359283391142823
2005-05-31,0.24989302592776275,0.24989302592776275,0.07938418184363027
2005-06-30,0.22143199305136063,0.22143199305136063,0.061382007625761625
2005-07-31,0.2738323955386308,0.2738323955386308,0.13867860074284755
2005-08-31,0.27868516468565474,0.27868516468565474,0.12526378917146896
2005-09-30,0.26378710607178824,0.26378710607178824,0.12302190447216321
2005-10-31,0.1867960672396245,0.1867960672396245,0.08251344580832876
2005-11-30,0.13099422283244588,0.13099422283244588,0.08192869454428542
2005-12-31,0.1373829551999819,0.1373829551999819,0.0482824968377038
2006-01-31,0.1960862802594805,0.1960862802594805,0.09807538366208246
2006-02-28,0.061131676945044955,0.061131676945044955,0.08175108234088646
2006-03-31,0.07280917031422884,0.07280917031422884,0.12009296635202737
2006-04-30,0.1370992012811516,0.1370992012811516,0.15589816968022774
2006-05-31,0.08907005894974618,0.08907005894974618,0.08608232792606119
2006-06-30,0.06236388334547582,0.06236388334547582,0.08726788037117039
2006-07-31,0.004370086921297256,0.004370086921297256,0.05189085359739565
2006-08-31,-0.010973355884352887,-0.010973355884352887,0.08501636088839293
2006-09-30,-0.032601141481688356,-0.032601141481688356,0.10544206721997473
2006-10-31,0.06609046684105357,0.06270102646811804,0.16790449608525826
2006-11-30,0.07937178170884263,0.07594011581544846,0.14097964364078952
2006-12-31,0.06470729896893435,0.06132225612620279,0.15845334745509598
2007-01-31,0.014573391411794034,0.011347740192581002,0.1483001280558902
2007-02-28,0.04757141852670688,0.044240856093286984,0.11936428111918684
2007-03-31,0.06706653312332977,0.06367398952551184,0.11395222007836603
2007-04-30,0.07110506080268775,0.06769967744202665,0.14878435192690787
2007-05-31,0.14018180874099695,0.13655680844764917,0.22463825921018454
2007-06-30,0.10967639984207977,0.10614838593753428,0.20359358315293075
2007-07-31,0.10709034726947131,0.10357055524784187,0.16071070827800904
2007-08-31,0.11505316196861015,0.11150805362865368,0.15049997726498998
2007-09-30,0.17460917799149,0.1708747221510749,0.16362091284473967
2007-10-31,0.15324285809698845,0.15324285809698845,0.14337210230523167
2007-11-30,0.0662211511310904,0.0662211511310904,0.07765634326182291
2007-12-31,0.10410197888251083,0.10410197888251083,0.05146175350654936
2008-01-31,0.00553944634072745,0.00553944634072745,-0.02674773729781965
2008-02-29,0.033094918514125604,0.033094918514125604,-0.03292799240860711
2008-03-31,0.012852740744192293,0.012852740744192293,-0.05255532678482411
2008-04-30,0.043743311520608286,0.043743311520608286,-0.04950165468836143
2008-05-31,0.05494337281484585,0.05460807025516212,-0.06678768032204885
